ID;Descrição;Preço em R$
156;Placa Mãe Goldentec Gt H61 M2, Intel 2ª/3ª Geração, Lga1155, DDR3;284,24
157;Placa Mae Brx H55ma5;179,90
158;Placa Mãe Biostar B550m-silver Am4 Uatx Ab55bm4t;894,25
159;Placa Mãe Gigabyte B760 Gaming X, Intel LGA1700, ATX, DDR4;1.820,90
160;Placa-Mãe PCWare PRO R.2, Intel LGA 1151, DDR4 - IPMH310G;445,40
161;Placa-Mãe AsRock A520M PRO4, AMD AM4, mATX, DDR4, M.2, DP, HDMI, VGA;679,15
162;Placa-Mãe Biostar A520mh 3.0, AMD AM4, Micro ATX, DDR4;449,20
163;Placa Mãe Integrada Pcware Ipx4020e, Celeron Dual Core N4020 2.8ghz, Ddr4, Hdmi, M.2 2280 - Oem;512,66
164;Placa-Mãe Brazil PC Mesk, Intel LGA 1155, OEM - BPC-H61M-T;364,50
165;Placa-Mãe Gigabyte B450M DS3H, AMD AM4, DDR4;989,10
166;Placa-Mãe Knup H310 2xddra4, Intel 1151, HDMI, VGA, 8/9ªG - Kp-H310;529,32
167;Placa-Mãe PCWare Integrada, Intel Celeron Dual Core N4020 2.8GHz, DDR4 SODIMM, HDMI, M.2 2280 - IPX4020E;369,40
168;Placa Mãe Bluecase BMBh110-g3hgu-d4 - LGA 1151 DDR4 - Chipset Intel H110 - Slot M.2 - Micro Atx;728,99
169;Placa-Mãe Brazil PC, AMD FM2+, DDR3, VGA, HDMI, OEM - BPC-A88-F2F;558,00
170;Placa Mãe Asus Prime Z790m-plus D4, 1700, Ddr4, Matx, HDMI, M.2, USB 3.2;1.799,00
171;Placa Mãe Msi Mag B650 Tomahawk, AM5, ATX, DDR5, Wi-Fi;2.328,90
172;Placa-Mãe Asus Prime B550M-K, AMD AM4, mATX, DDR4, Slot M.2;1.529,99
173;Placa-Mãe Duex, Intel LGA 775 DDR3 - DX-G41Z;455,00
174;Placa Mãe Gigabyte B760m Aorus Elite, Intel 13a, 12a Geração, LGA1700, Micro ATX, DDR5;1.392,36
175;Placa Mãe Duex Dx B75zg M2, Intel 2ª/3ª Geração, DDR3, Socket LGA1155;225,77
176;Placa Mãe Gigabyte B760m Aorus Elite R1.1, DDR4, LGA 1700, Micro ATX;1.424,52
177;Placa Mãe Gigabyte Z790 Aorus Elite AX, DDR4, WIFI, ATX, M.2;3.360,50
178;Placa-Mãe Brazil PC, Intel LGA 1150, DDR3, Som, Ví­deo e Rede - B85M-TG;719,99
179;Placa-Mãe Asus Prime, Intel Celeron, DDR4 - J4005I-C/BR;777,60
180;Placa Mãe Mb Keepdata B75-kdgnv Lga 1155, Giga/nvme/hdmi;207,00
181;Placa Mãe Oem H81g, Intel I3/I5/I7 4ª Geração, LGA1150, DDR3;480,00
182;Placa-Mãe Asus Prime, Intel 11ª Geração 1200 - Z590-P;2.537,99
183;Placa-Mãe AsRock X570 Phantom Gaming 4S, AMD AM4;1.952,99
184;Placa Mãe Biostar B560mhp 2.0 M.2, DDR4, HDMI, VGA, USB;628,15
185;Placa Mãe Gigabyte Z790 Gaming X, DDR5, ATX, LGA1700;2.803,90
186;Placa Mãe Pcware Bravex Ipm-b560, Intel LGA 1200, Matx, DDR4, Chipset B560;988,60
187;Placa-Mãe AsRock B450M Steel Legend, AMD AM4, mATX, DDR4;1.106,99
188;Placa Mae H510m-t Colorful M.2 V20 Intel 1200;570,42
189;Placa-Mãe BRX, Intel H81 4ª Geração LGA 1150, mATX, DDR3 Até 8GB, VGA, HDMI, USB 3.0 - IH81-MA6;555,81
190;Placa-Mãe Gigabyte A520M Box, AMD AM4, mATX, DDR4, DS3H, DP, HDMI, DVI-D, USB 3.0;759,00
191;Gigabyte Z790 Ud, LGA 1700, DDR5 7600 O.c, Chipset Z790, USB 3.2, Slot M.2, 2.5 Gbps, Micro ATX;2.511,90
192;Placa-Mãe Colorful M.2 V20, Intel 1200 - H510M-K;581,29
193;Placa-Mãe Biostar B450MH, AMD AM4, mATX, DDR4 - AB45CM4S;580,50
194;Placa-Mãe Brazil PC, AMD FM2, ATX, DDR3 - BPC-A88FM2-V2;361,46
195;Placa-Mãe Goline, Intel H81 1150, DDR3 - GL-H81-MA;549,90
196;Placa-Mãe Asus Prime, Intel H410 LGA 1200, DDR4 - H410M-K;669,81
